,LANGUAGE,Match_ID
45,"^(that )?(.{2,80}) (will|shall) provide reasonable security and restrictions in the use of .*? through any medium;?$",0000048
46,"^(that )?(.{2,80}) be allowed to (microfilm|film) .*? whose documents are dated not later than the year 1925.?$",0000049
47,"^(that )?insofar as (.{2,80}) desires to make .*? available via the internet then (.{2,80}) (may|can) make only data extracted out of the original images available to all researchers,? but the original image,? if posted on the internet,? (will|shall) be shown only to registered users in particular,? and (will|shall) be protected by watermarks;?$",0000050
48,"^(that )?the (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) produced under this agreement is the property of (.{2,80}) and that .*? has no legal authority to restrict in any way the rights of (.{2,80}) to its use.?$",0000051
49,"^(that )?.*? (will|shall) not be reproduced,? displayed,? transmitted,? distributed by (.{2,80}) for profit purposes;? and$",0000052
50,"^(that )?the reproduction,? transmission,? distribution,? display,? and use of records is for the purpose of genealogical research;?$",0000053
51,^(the )?(digital|digitized) images (will|shall) contain the following watermarked statement:,0000054
52,"^(the )?(digital|digitized) materials? hosted on the (.{2,80}) web ?site (will|shall) be available at no cost( \(""default free public access""\))?.?$",0000055
53,"^(the )?copies of .*? or (indices?|index(es)?) (may|can) be produced,? exhibited,? used,? and distributed by (.{2,80}) or under ((.{2,80})(''s)?|its) direction,? in any form,? for the purposes of research.?$",0000056
54,"^(the )?information (from|in) .*? (may|can)( also)? be extracted by or under the direction of (.{2,80}) (or the assisting (society|organization))?to create resources such as (indices?|index(es)?) (and|or)( other)? (research|finding|search) (aids?|materials?|resources?|tools?).?$",0000057
55,"^(the )?information contained (on|in) .*? (may|can)( also)? be extracted by (.{2,80}) or under its direction in order to create (indices?|index(es)?) (and|or)( other)? (research|finding|search) (aids?|materials?|resources?|tools?).?$",0000058
56,"^(the parties further acknowledge and agree that,? )?to the full extent permitted by applicable law,? (.{2,80}) (may|can) (use|utilize) the (digital|digitized) images and the research materials for any lawful purpose,? without limitation.?$",0000060
57,"^(the parties specifically acknowledge that )?(the )?vendors? (may|can),? subject to any special instructions or exceptions set forth in .*?,? license,? reproduce,? display,? distribute,? transmit,? create derivative (work\(?s?\)?|material\(?s?\)?) of,? and otherwise (use|utilize) the (digital|digitized) images and (indices?|index(es)?) as (the )?vendors? sees? fit,? and (may|can|to) do so in any and all media formats now known or hereafter invented,? including without limitation hosting for (digital|digitized) images and (indices?|index(es)?) on the internet for public access.?$",0000061
58,"^(the parties specifically acknowledge that )?(.{2,80}) (may|can) license,? reproduce,? display,? distribute,? transmit,? create derivative (work\(?s?\)?|material\(?s?\)?) of,? and otherwise (use|utilize) the (digital|digitized) images as ((.{2,80})|it|they) sees? fit,? and (may|can|to) do so in any and all media formats now known or hereafter invented,? including without limitation internet hosting for public access.?$",0000062
59,"^(the parties specifically acknowledge that )?(.{2,80}) (may|can) license,? reproduce,? display,? distribute,? transmit,? create derivative (work\(?s?\)?|material\(?s?\)?) of,? and otherwise (use|utilize) the (digital|digitized) images,? and (may|can|to) do so in any and all media formats now known or hereafter invented,? including without limitation internet hosting for public access.?$",0000063
60,"^(the rights of .*? concerning the original records are not altered by this agreement and )?(.{2,80}) (may|can) (use|utilize) the generated (digital|digitized) images and descriptive instruments for any legal purpose,? except commercial use,? as long as the original source is mentioned.?$",0000064
61,"^(the|their) reproduction by physical or corporate (persons?|individuals?|people) not affiliated with (.{2,80}) (will|shall) be permitted only with a written statement of purpose by the interested not for profit party in a format that does not permit( the)? alteration of (their|the) content,? with the additional requirement that the name of .*? be cited as a reference.?$",0000065
62,^(the|these) copies (will|shall) be used only for such purposes as are normally associated with genealogical research.?$,0000066
63,^(the|these) documents are considered public records and have been placed with .*? to be maintained and preserved as required by law.?$,0000067
64,"^(the|these) images (will|shall) be available in read only format,? not printable or down ?loadable.?$",0000068
65,"^(the|these) titles (may|can) be reproduced on microform only for circulation within (.{2,80}) family history centers.?$",0000069
66,"^(the|this|these|their|it''?s) (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) (will|shall) be available to users of the main library (in|at) salt lake city and ((.{2,80})(''s)?|it''?s|their) (research centers?|reading rooms?) for viewing.?$",0000070
67,^(the|this|these|their|it''?s) (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) (will|shall) not otherwise be sold or distributed to any( other)? (entit(y|ies)|organizations?|institutions?) or (persons?|individuals?|people?) without prior written permission.?$,0000071
68,"^(the|this|these|their|it''?s) (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) can ?not be used for any other purposes?,? except as allowed under section 1,? f and g( below)?.?$",0000072
69,^(to )? perform or display your materials publicly including by means of broadcast or digital transmission on an unlimited number of computers and computer workstations.?$,0000073
70,"^(under this term,? )?.*? (authorizes|allows|permits) (.{2,80}),? at ((.{2,80})(''s)?|it''?s|their) own costs? and exclusive expenses?,? (to )?create (digital|digitized) images of the original records( contained in the death certificates \(""digital images""\))? dating from the interregnum between 1960 and 2021,? including those belonging to .*? and databases of the state department of health and state public hospitals under and/or administered by the state department of health and/or secured by the public archives of the state of rio de janeiro \(aperj\).?$",0000074
71,^(use|utilize) (the|this|these|their|its|it''?s) (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) to produce (indices?|index(es)?) (and|or)( other)? (research|finding|search) (aids?|materials?|resources?|tools?).?$,0000075
72,"^(use|utilize) and disseminate (.{2,80}) copies of the duplicated (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) only to other library's of (.{2,80}).?$",0000076
73,"^(whereas,? )?a memorandum of agreement( \(annex ""a""\))? was entered into by and between the above parties on february 8,? 1988,? authorizing the (microfilming|filming) of the birth and death certificates without cost to .*?;?$",0000077
74,"^(whereas,? )?(.{2,80}) seeks authority from .*? to convert the (microfilmed|filmed) birth and death certificates into (digital|digitized) format and to create (indices?|index(es)?) (and|or)( other)? (research|finding|search) (aids?|materials?|resources?|tools?) there from;?$",0000078
75,"^(whereas,? )?.*? allows (.{2,80}) to (digitalize|digitize) the birth and death certificates and to create (indices?|index(es)?) (and|or)( other)? (research|finding|search) (aids?|materials?|resources?|tools?);?$",0000079
76,"^(whereas: )?(.{2,80}) now desires permission to make additional copies of (the|this|these|their|it''?s) (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) (identified|described|named) (above|below) and make them available to persons performing genealogical research;? either through ((.{2,80})(''s)?|it''?s|our|their) main library (in|at) salt lake city or through ((.{2,80})(''s)?|it''?s|our|their) branch libraries \(family history centers\) throughout the world;?$",0000080
77,^(whole )?(microfilms|films)( of .*?)? can ?not be sold or exchanged without written permission of the owner.?$,0000081
78,"^(will|shall) (use|utilize) (microfilm|film) copies made from the subject original (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) only in facilities owned and/or operated by (.{2,80}).?$",0000082
79,"^(will|shall)? ?make (positive )?(microfilm|film) copies from the negative (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) and (use|utilize) them only for such purposes as are normally associated with genealogical research in facilities owned and/or operated by,? (or under contract to)?(.{2,80}).?$",0000083
80,"^(will|shall) make (microfilm|film) copies from the original (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) and (use|utilize) them only for such purposes as are normally associated with genealogical research in facilities owned and/or operated by (.{2,80}).?$",0000084
81,"^(will|shall) make (microfilm|film) copies from the original (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) for its own use and (use|utilize) them only for such purposes as are normally associated with genealogical research in facilities owned and operated by,? or under contract to,? (.{2,80}).?$",0000085
82,"^(will|shall) make (microfilm|film) copies from the original copies for its own use and (use|utilize) them only for such purposes as are normally associated with genealogical research facilities owned and operated by or under contract to,? (.{2,80}).?$",0000086
83,^(will|shall) not allow the resulting (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) to be used outside its own facility and its auxiliary organizations unless it has your written permission or the written permission of the owners of the materials?.?$,0000088
84,^(will|shall) not furnish copies of (the|this|these|their|it''?s) (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) to other (entit(y|ies)|organizations?|institutions?) or (persons?|individuals?|people?) without first receiving (the )?written consent of .*? (or other )?official\(?s?\)? responsible for .*?.?$,0000091
85,^(will|shall) not furnish copies of (the|this|these|their|it''?s) (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) to other (entit(y|ies)|organizations?|institutions?) or (persons?|individuals?|people?) without first receiving the written consent of (the owner or )?.*? having custody of the original (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?).?$,0000092
86,^(will|shall) not furnish copies of (the|this|these|their|it''?s) (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) to other (entit(y|ies)|organizations?|institutions?) or (persons?|individuals?|people?) without first receiving the written consent of the \w.+ county official\(?s?\)? who is custodian of the original (microfilm|film).?$,0000093
87,"^(will|shall) obtain the written consent of .*? before reproducing documents from .*?,? unless otherwise stated in .*? user regulations.?$",0000094
88,"^(you acknowledge and agree that )?(.{2,80}),? as a matter of policy,? does not accord credit in connection with its use of creative (work\(?s?\)?|material\(?s?\)?).?$",0000095
89,"^(you acknowledge that )?((.{2,80})|we) (will|shall) own any such research materials.?$",0000096
90,"^\(i\) we hereby deposit with (.{2,80})(,? for forwarding to the family history center,? church of jesus christ of latter-day saints,? 35 s. west temple street,? salt lake city utah,)? the following:$",0000097
91,"^\|-\| \(mark only if applicable\):? do not allow ((.{2,80})|familysearch.org) users to print and/or download materials.?$",0000098
92,"^“?cortesía del registro civil de .*?,? ?(argentina)?.”?$",0000099
93,^a copy of (the|these) (indices?|index(es)?) with the link to the images (will|shall) be offered to .*?.?$,0000100
94,"^.*? authorizes (.{2,80}),? at the option and cost of (.{2,80}),? to create digital images of the original records \(""digital images""\) and to create research materials,? including indices,? based on the content of the digital images \(""research materials""\).?$",0000926
95,"^(.{2,80}) will own the digital images and research materials and the rights to use,? and permit the use of the digital images,? as described in this agreement.?$",0000927
96,"^\""a person who obtains public records for a commercial purpose without indicating the commercial purpose or who obtains a public record for a noncommercial purpose and uses or knowingly allows the use of such public record for a commercial purpose or who obtains a public record for commercial purpose and uses or knowingly allows the use of such public record for a different commercial purpose or who obtains a public record from anyone other than the custodian of such records and uses them for a commercial purpose shall in addition to other penalties be liable to the state or the political subdivision from which the public record was obtained for damages in the amount of three times the amount which would have been charged for the public record had the commercial purpose been stated plus costs and reasonable attorneys' fees or shall be liable to the state or the political subdivision for the amount of three times the actual damages if it can be shown that the public record would not have been provided had the commercial purpose of actual use been stated at the time of obtaining .*?.\""$",0000101
97,"^according to the attached letter from the obispo maximo of the above church introducing charles brooks (.{2,80}) had been given permission to (microfilm|film) their records.?$",0000102
98,"^according to the provisions of the law in force,? (.{2,80}) (may|can) (use|utilize) the (digital|digitized) images and all (indices?|index(es)?) created by .*? for any legal purpose,? with the provision(,? however,)? that (.{2,80}) not be able to sell the (digital|digitized) images in any (means|mediums?)( \(support\))?.?$",0000103
99,"^acknowledges and undertakes that ((.{2,80})|it) (will|shall) not (use|utilize) its negative (microfilm|film) copy \(of which permission is hereby given to (.{2,80}) of making positive (microfilm|film) copies from the negative (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?)\) nor the said positive (microfilm|film) copies for any purpose other than genealogical research in facilities owned and/or operated by,? or under contract to,? (.{2,80});?$",0000104
100,"^acknowledges and undertakes that ((.{2,80})|it) (will|shall) not furnish copies of (the|this|these|their|its|it''?s) (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) to other (entit(y|ies)|organizations?|institutions?) or (persons?|individuals?|people?) other than those cited above without first receiving the written consent of .*?;?$",0000105
101,^all provisions in the prior memorandum of agreement in so far as not inconsistent with this supplemental agreement (will|shall) remain in force and effect;?$,0000106
102,^also i have a question about the rolls of (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) we have done on your records in the past.?$,0000108
103,"^although the intent of this agreement is to provide access at no cost to the public,? in extenuating circumstances (.{2,80}) may enter into third party agreements to recover ((.{2,80})(''s)?|it''?s|their) costs for digitizing and indexing selected materials related to that project plan.?$",0000109
104,^any exceptions? must be expressly authorized by .*?.?$,0000110
105,"^any use of (digital|digitized) images by (.{2,80}) for commercial purposes must have the express authorization of .*?.?$",0000111
106,"^as (technology|technologies) and (media|mediums) evolve,? (.{2,80}) (may|can) reproduce,? distribute,? transmit,? display,? (use|utilize),? and (allow|permit)( the)? use of (the )?(digital|digitized|digital/digitized) records and (microfilm|film)(,? (in this agreement or previous ones|in this and in previous agreements))?,? via (technology|technologies) and in (means|mediums?) that are not now known( \(""use rights""\))?.?$",0000113
107,"^as for the selling of same,? there is not a great deal of money made from that type of search to be an issue,? from this end.?$",0000114
108,"^as part of any display,? reproduction,? or distribution of any original record,? additional record,? or (digital|digitized) record,? the parties agree to make commercially reasonable efforts to maintain intact all existing copyright notices and other evidence of ownership affixed to the same.?$",0000115
109,"^as part of any display,? reproduction,? (distribution,? )?or other permitted use of any record or (digital|digitized) image,? the parties agree to make commercially reasonable efforts to maintain intact any evidence of ownership affixed to the same \(including copyright notices\).?$",0000116
110,"^as part of the research materials,? (.{2,80}) (may|can)( also)? create( an)? (indices?|index(es)?) of (any and all|the) information (from|in) the (digital|digitized) (images|records)( and any existing digital records)?( \(""?index""?\))?.?$",0000117
111,"^at no time now or in the future,? will (.{2,80}) charge kansas residents a fee or other payment for online access to the (digital|digitized) materials on (.{2,80}) web ?sites?.?$",0000118
112,^at the end of 1991 .*? for 1916 will be released and will be the first in this process.?$,0000119
113,^authorizes ?/ ?(does not authorize|\*\*unreadable\*\*)( \(circle the appropriate word\))? the sale or transfer of (microfilm|film) copies to other (entit(y|ies)|organizations?|institutions?) or (persons?|individuals?|people?) without your written permission.?$,0000120
114,^does not authorize the sale or transfer of (microfilm|film) copies to other (entit(y|ies)|organizations?|institutions?) or (persons?|individuals?|people?) without your written permission.?$,0000120.0.1
115,^authorizes the sale or transfer of (microfilm|film) copies to other (entit(y|ies)|organizations?|institutions?) or (persons?|individuals?|people?) without your written permission.?$,0000120.1.0
116,"^authorizes ?/ ?(does not authorize|\*\*unreadable\*\*)( \(circle the appropriate word\))?,? the sale or transfer of copies to other (entit(y|ies)|organizations?|institutions?) (or (persons?|individuals?|people?) )?without your written permission.?$",0000121
117,^does not authorize the sale or transfer of copies to other (entit(y|ies)|organizations?|institutions?) or (persons?|individuals?|people?) without your written permission.?$,0000121.0.1
118,^authorizes the sale or transfer of copies to other (entit(y|ies)|organizations?|institutions?) or (persons?|individuals?|people?) without your written permission.?$,0000121.1.0
119,"^authorizes (.{2,80}) to make copies of the (work\(?s?\)?|material\(?s?\)?) for use (in|at) the family history library and,( in order)? to meet patron requests,? within ((.{2,80})(''s)?|it''?s|their) genealogical research system.?$",0000123
120,"^authorizes (.{2,80}) to produce and distribute( an)? (indices?|index(es)?) or other (research|finding|search) (aids?|materials?|resources?|tools?) based (on|upon) the contents of the (work\(?s?\)?|material\(?s?\)?).?$",0000124
121,"^be permitted to transmit,? display,? and permit( the)? use of .*? for (research|finding|search) (aids?|materials?|resources?|tools?) and non-?profit purposes to their patrons.?$",0000127
122,"^because (.{2,80}) can ?not anticipate all future needs or (technology|technologies),? (.{2,80}) (may|can) (use|utilize) your materials in many other ways not set forth in these examples.?$",0000128
123,"^because of the value of the archival materials to members of the public,? the parties agree that there (will|shall) be no restrictions on use of the (digital|digitized) images by any members of the public.?$",0000129
124,"^both (parts|parties) (are|will be|shall be) allowed to place the images in the internet,? always mentioning the origin and placing an access to the other (organization|institution).?$",0000130
125,^both parties (will|shall) separately own a full and complete copy of the (digital|digitized) images.?$,0000131
126,"^by filming (the|this|these) materials? (.{2,80}) does not assume the copyright.?$",0000132
127,"^by granting permission you are allowing ((.{2,80})|us) to make your (work\(?s?\)?|material\(?s?\)?) available to interested researchers worldwide.?$",0000133
128,"^by mutual agreement,? (.{2,80}) (will|shall) not sell or distribute copies of (the|this|these|their|it''?s) (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) to other (entit(y|ies)|organizations?|institutions?)( or private parties)? without express written permission from .*?,? though ((.{2,80})|it) (may|can) loan them to third parties to create such (indices?|index(es)?).?$",0000134
129,"^(?!.*neither)by reason of its microfilming,? ?(.{2,80}) (intends|presumes) to acquire no copyright (of|on|in|to)( the)? (work\(?s?\)?|material\(?s?\)?) made available.?$",0000135
130,"^by reason of its microfilming,? (.{2,80}) does not (intend|presume) to acquire( any)? copyright (permission )?(of|on|in|to)( the)? (work\(?s?\)?|material\(?s?\)?) made available.?$",0000137
131,"^by reason of its microfilming,? neither .*?,? .*? nor (.{2,80}) (intends|presumes) to acquire any copyright (of|on|in|to)( the)? (work\(?s?\)?|material\(?s?\)?) made available.?$",0000139
132,"^by your signature,? you agree to grant (.{2,80}) permission to (use|utilize) your materials as described in this document.?$",0000140
133,"^by your signature,? you grant (.{2,80}) permission to (use|utilize) your materials as described in this document.?$",0000141
134,^copies (will|shall) be made available only for private research by patrons of these institutions.?$,0000142
135,"^copies of (the|these) (indices?|index(es)?) or records (may|can) be produced,? exhibited,? used,? and distributed by (.{2,80}),? or under their auspices,? in any form having (he|the) purpose of research.?$",0000143
